timestamp,chuva_35235000_varzea_do_grosso,nivel_35235000_varzea_do_grosso,vazao_35235000_varzea_do_grosso,chuva_35255000_siarao,nivel_35255000_siarao,vazao_35255000_siarao,chuva_35275000_sobral,nivel_35275000_sobral,vazao_35275000_sobral,chuva_35283000_santana_do_acarau,nivel_35283000_santana_do_acarau,vazao_35283000_santana_do_acarau,distancia_35235000_varzea_do_grosso,distancia_35255000_siarao,distancia_35275000_sobral,distancia_35283000_santana_do_acarau
2023-03-04,9.4,176.27083333333334,6.757291666666667,7.0,132.70833333333334,4.589583333333333,12.399999999999999,47.635416666666664,5.666666666666667,5.4,68.89583333333333,5.379166666666666,8.1,34.9,59.8,88.3
2023-03-05,0.0,172.65625,6.110416666666667,13.2,131.28125,4.392708333333333,0.4,52.864583333333336,6.833333333333333,2.0,71.10416666666667,5.820833333333333,8.1,34.9,59.8,88.3
2023-03-06,0.0,171.32291666666666,5.864583333333333,1.7999999999999998,127.5625,3.952083333333333,0.8,51.916666666666664,6.601041666666667,5.4,73.0,6.23125,8.1,34.9,59.8,88.3
2023-03-07,0.0,170.23958333333334,5.647916666666666,0.0,125.83333333333333,3.69375,0.2,51.71875,6.558333333333334,0.2,71.89583333333333,5.988541666666666,8.1,34.9,59.8,88.3
2023-03-08,0.0,170.57291666666666,5.719791666666667,0.0,124.57291666666667,3.5572916666666665,0.0,46.760416666666664,5.452083333333333,0.0,71.05208333333333,5.810416666666666,8.1,34.9,59.8,88.3
2023-03-09,6.0,147.85416666666666,2.1197916666666665,1.0,123.15727459016394,3.4011441256830603,6.0,44.333333333333336,4.966666666666667,1.4,67.8125,5.1625000000000005,8.1,34.9,59.8,88.3
2023-03-10,0.0,141.375,1.1447916666666667,0.0,111.49897540983606,2.1498975409836065,0.0,44.34375,4.96875,1.0,73.77083333333333,6.4375,8.1,34.9,59.8,88.3
2023-03-11,0.0,139.15625,0.828125,1.7999999999999998,102.73958333333333,1.3125,23.8,48.520833333333336,5.945833333333333,11.4,72.94791666666667,6.229166666666667,8.1,34.9,59.8,88.3
2023-03-12,0.0,137.54166666666666,0.640625,0.0,99.53246124031007,1.0532461240310078,16.2,41.697916666666664,4.4781249999999995,2.2,73.04166666666667,6.2593749999999995,8.1,34.9,59.8,88.3
2023-03-13,6.0,136.29381443298968,0.5087628865979381,0.0,99.75935994307855,1.0948751363098506,10.8,40.91237113402062,4.330927835051547,36.8,72.5360824742268,6.156701030927835,8.1,34.9,59.8,88.3
2023-03-14,27.8,137.01041666666666,0.6322916666666667,16.6,98.36172715053765,0.9675571236559141,1.8,36.53125,3.563541666666667,6.2,77.22916666666667,7.238541666666666,8.1,34.9,59.8,88.3
2023-03-15,59.4,149.96875,3.21875,14.2,163.69791666666666,12.782291666666666,42.4,36.479166666666664,3.8072916666666665,16.4,73.5,6.367708333333333,8.1,34.9,59.8,88.3
2023-03-16,41.4,209.41666666666666,17.894791666666666,60.4,211.54166666666666,31.398958333333336,49.6,100.15625,22.292708333333334,18.6,91.83333333333333,11.517708333333333,8.1,34.9,59.8,88.3
2023-03-17,11.4,219.35416666666666,24.349999999999998,31.4,255.25,54.521875,15.0,225.55208333333334,108.72604166666667,13.8,144.63541666666666,42.393750000000004,8.1,34.9,59.8,88.3
2023-03-18,28.8,167.91666666666666,5.402083333333334,24.6,306.625,109.3,16.2,291.0520833333333,176.8791666666667,20.0,275.2083333333333,270.840625,8.1,34.9,59.8,88.3
2023-03-19,34.4,169.80208333333334,6.175,20.4,319.34375,128.43645833333332,3.8000000000000003,323.7604166666667,215.08541666666667,0.6000000000000001,348.6875,520.271875,8.1,34.9,59.8,88.3
2023-03-20,12.4,200.23958333333334,12.420833333333334,33.2,328.2604166666667,143.478125,16.8,301.03125,185.18958333333333,9.200000000000001,333.5416666666667,456.2427083333334,8.1,34.9,59.8,88.3
2023-03-21,0.2,164.39583333333334,4.720833333333333,0.0,418.9895833333333,312.57916666666665,1.2000000000000002,361.5520833333333,308.81354166666665,54.6,338.5625,479.8145833333333,8.1,34.9,59.8,88.3
2023-03-22,135.2,342.5833333333333,153.30937500000002,55.2,426.3020833333333,346.7,37.4,365.3229166666667,319.3208333333333,14.4,382.2604166666667,679.2458333333333,8.1,34.9,59.8,88.3
2023-03-23,0.0,186.04166666666666,9.003124999999999,0.0,422.3020833333333,321.69374999999997,0.6,457.3854166666667,651.5437499999999,0.0,415.71875,684.09871875,8.1,34.9,59.8,88.3
2023-03-24,37.4,171.5625,6.1968749999999995,21.6,292.4270833333333,91.37083333333334,1.6,316.0729166666667,222.771875,2.4,411.9583333333333,555.2369791666666,8.1,34.9,59.8,88.3
