timestamp,chuva_35235000_varzea_do_grosso,nivel_35235000_varzea_do_grosso,vazao_35235000_varzea_do_grosso,chuva_35255000_siarao,nivel_35255000_siarao,vazao_35255000_siarao,chuva_35275000_sobral,nivel_35275000_sobral,vazao_35275000_sobral,chuva_35283000_santana_do_acarau,nivel_35283000_santana_do_acarau,vazao_35283000_santana_do_acarau,dia_sin,dia_cos,distancia_35235000_varzea_do_grosso,distancia_35255000_siarao,distancia_35275000_sobral,distancia_35283000_santana_do_acarau
2022-02-21,0.0,141.5,1.1208333333333333,0.0,105.20833333333333,1.5208333333333333,0.0,38.927083333333336,3.063541666666667,0.0,71.30729166666667,2.8234375000000003,0.7787639308347607,0.6273170968742937,8.1,34.9,59.8,88.3
2022-02-22,0.0,142.5,1.275,0.0,101.53125,1.20625,0.0,33.020833333333336,2.214583333333333,0.0,64.29166666666667,1.9635416666666667,0.7894179103280197,0.613856141822612,8.1,34.9,59.8,88.3
2022-02-23,0.0,142.97916666666666,1.3885416666666666,0.0,98.92708333333333,0.9927083333333334,0.0,29.677083333333332,1.7947916666666668,0.0,58.21875,1.3802083333333333,0.7998392447397193,0.6002142805483682,8.1,34.9,59.8,88.3
2022-02-24,0.4,142.0,1.2,1.6,98.16666666666667,0.9166666666666666,2.0,27.458333333333332,1.5458333333333334,13.799999999999999,55.697916666666664,1.171875,0.8100248628547753,0.5863955333706956,8.1,34.9,59.8,88.3
2022-02-25,1.4,142.57291666666666,1.2854166666666667,0.0,97.82291666666667,0.8822916666666667,0.0,25.677083333333332,1.367708333333333,0.0,54.385416666666664,1.1041666666666667,0.8199717629247771,0.5724039727378148,8.1,34.9,59.8,88.3
2022-02-26,0.0,143.51041666666666,1.4510416666666666,0.0,99.85416666666667,1.0645833333333334,0.0,24.322916666666668,1.2322916666666666,0.0,52.791666666666664,0.9791666666666666,0.8296770135526188,0.5582437220268648,8.1,34.9,59.8,88.3
2022-02-27,0.0,142.64583333333334,1.3291666666666666,0.0,104.84375,1.484375,0.0,23.020833333333332,1.1020833333333333,0.0,51.15625,0.8812500000000001,0.8391377545563938,0.5439189543287247,8.1,34.9,59.8,88.3
2022-02-28,0.0,142.0,1.2,0.0,105.46354166666667,1.5463541666666665,0.0,21.604166666666668,0.9604166666666667,0.0,49.708333333333336,0.7708333333333334,0.8483511978123038,0.5294338912181853,8.1,34.9,59.8,88.3
2022-03-01,0.0,142.22448979591837,1.2448979591836735,0.0,102.62244897959184,1.2765306122448978,0.0,20.255102040816325,0.8755102040816326,0.0,48.326530612244895,0.7030612244897958,0.8573146280763322,0.5147928015098309,8.1,34.9,59.8,88.3
2022-03-02,0.0,142.48979591836735,1.2979591836734692,0.2,101.4438775510204,1.1943877551020408,0.0,19.01530612244898,0.801530612244898,0.0,47.714285714285715,0.6714285714285714,0.8660254037844386,0.5000000000000001,8.1,34.9,59.8,88.3
2022-03-03,0.0,142.74489795918367,1.3418367346938775,0.0,99.06632653061224,1.0229591836734695,0.0,19.724489795918366,0.8632653061224491,0.0,47.39795918367347,0.6418367346938776,0.8744809578310397,0.4850598461951962,8.1,34.9,59.8,88.3
2022-03-04,0.0,160.53061224489795,3.976530612244898,19.2,96.11224489795919,0.7918367346938775,0.0,19.520408163265305,0.8520408163265306,0.0,46.19897959183673,0.5709183673469387,0.8826787983255474,0.46997674302731995,8.1,34.9,59.8,88.3
2022-03-05,0.0,160.5204081632653,3.96530612244898,0.0,112.31632653061224,2.2632653061224492,1.4000000000000001,20.306122448979593,0.8908163265306123,5.0,45.0,0.5,0.8906165093267404,0.4547551355561058,8.1,34.9,59.8,88.3
2022-03-06,0.0,160.6326530612245,3.9918367346938775,18.8,126.54081632653062,3.809183673469388,30.6,28.352040816326532,1.760714285714286,2.5999999999999996,44.28383458646616,0.48842642320085927,0.8982917515547528,0.4393995096591417,8.1,34.9,59.8,88.3
2022-03-07,64.60000000000001,176.94897959183675,6.962755102040816,8.2,138.3622448979592,5.314795918367347,8.4,40.98979591836735,3.3918367346938774,12.0,54.82330827067669,1.1559613319011814,0.9057022630804714,0.42391439070986076,8.1,34.9,59.8,88.3
2022-03-08,0.0,166.07291666666666,4.903125,2.0,143.85416666666666,6.067708333333333,0.0,49.25,4.871875,7.2,66.21875,2.19375,0.9128458599921356,0.40830434224389334,8.1,34.9,59.8,88.3
2022-03-09,0.0,165.38541666666666,4.777083333333334,2.4,136.98958333333334,5.132291666666666,0.2,56.385416666666664,6.29375,0.6000000000000001,68.92708333333333,2.5322916666666666,0.9197204370389467,0.3925739646141717,8.1,34.9,59.8,88.3
2022-03-10,22.2,165.73958333333334,4.8343750000000005,12.6,137.84375,5.255208333333333,8.4,55.90625,6.219791666666667,6.8,76.39583333333333,3.5885416666666665,0.926323968251495,0.3767278936351851,8.1,34.9,59.8,88.3
